Lines	  T(e)	   T(1)	  T(2)	 T(e)/T(1)	 T(e)/T(2)
    8      107       64     24       1.672      4.458
   16      300      256     64       1.172      4.688
   32      848     1024    160       0.828      5.300
   64     2041     4096    384       0.498      5.315
  128     4259    16384    896       0.260      4.753
  256     9098    65536   2048       0.139      4.442
  512    18846   262144   4608       0.072      4.090
 1024    38331  1048576  10240       0.037      3.743
 2048    76299  4194304  22528       0.018      3.387
 4096   152102 16777216  49152       0.009      3.095
